Image,changed_item_long,changed_item_short
081_L_filler_present_football,0,0
02_L_filler_present_napkin,0,0
028_L_filler_present_vase,0,0
0123_L_window_in_pot,0,0
042_L_filler_present_tap,0,0
08_L_filler_present_bottle,0,0
072_R_filler_present_handle,0,0
077_L_filler_present_footrest,0,0
077_R_filler_present_footrest,0,0
010_L_filler_present_candle,0,0
0120_L_window_in_art,0,0
0128_L_window_in_pot,0,0
053_L_filler_present_handle,0,0
03_L_filler_present_ducks,0,0
0117_L_window_in_plant_sized,0,0
014_R_filler_present_lamp,0,0
016_R_filler_present_art,0,0
017_L_filler_present_wood,0,0
040_L_filler_present_painting,0,0
024_L_filler_present_towels,0,0
038_L_filler_present_art,0,0
034_L_filler_present_handle,0,0
030_L_filler_present_drawer,0,0
014_L_filler_present_lamp,0,0
05_R_filler_present_mirror,0,0
027_L_filler_present_soapdish,0,0
080_L_filler_present_plant,0,0
0109_L_window_in_pillow,0,0
084_L_filler_present_light,0,0
092_R_mirrorONLY_in_candles,0,0
082_L_filler_present_bowl,0,0
070_L_filler_present_lamp,0,0
06_R_filler_present_vase,0,0
091_L_mirrorONLY_in_airfreshener,0,0
0104_R_mirrorONLY_in_bottle,0,0
0111_L_window_in_pot,0,0
0102_R_mirrorONLY_in_shoppingbag,0,0
0113_R_window_in_plant,0,0
0105_L_mirrorONLY_in_hat,0,0
020_R_filler_present_walldeco,0,0
025_L_filler_present_vase,0,0
0106_L_mirrorONLY_in_toweldispenser,0,0
021_R_filler_present_keyboard,0,0
025_R_filler_present_vase,0,0
0114_L_window_in_bird,0,0
017_R_filler_present_wood,0,0
0107_L_mirrorONLY_in_shirts,0,0
018_L_filler_present_plant,0,0
0116_L_window_in_basket,0,0
016_L_filler_present_art,0,0
015_R_filler_present_ceilinglight,0,0
0124_L_window_in_vase,0,0
010_R_filler_present_candle,0,0
09_L_filler_present_carpet,0,0
0112_R_window_in_basket,0,0
019_R_filler_present_lamp_sized,0,0
0117_R_window_in_plant_sized,0,0
0121_R_window_in_car,0,0
037_R_filler_present_towel,0,0
05_L_filler_present_mirror,0,0
060_R_filler_present_pillow,0,0
061_L_filler_present_glass,0,0
062_L_filler_present_flowers,0,0
065_L_filler_present_cd,0,0
068_L_filler_present_faucet,0,0
059_L_filler_present_car,0,0
06_L_filler_present_vase,0,0
084_R_filler_present_light,0,0
